Classifier,Scaler,PPV mild,NPV mild,PPV moderate,NPV moderate,PPV severe,NPV severe
RandomForest,Standard,"0.665 (0.02, 0.66, 0.67)","0.809 (0.02, 0.80, 0.82)","0.559 (0.09, 0.53, 0.59)","0.850 (0.01, 0.85, 0.85)","0.681 (0.03, 0.67, 0.69)","0.823 (0.02, 0.82, 0.83)"
RandomForest,None,"0.655 (0.01, 0.65, 0.66)","0.786 (0.01, 0.78, 0.79)","0.517 (0.10, 0.48, 0.56)","0.849 (0.01, 0.85, 0.85)","0.662 (0.02, 0.65, 0.67)","0.817 (0.02, 0.81, 0.82)"
XGBoost,None,"0.669 (0.02, 0.66, 0.68)","0.769 (0.01, 0.77, 0.77)","0.396 (0.07, 0.37, 0.42)","0.855 (0.01, 0.85, 0.86)","0.660 (0.03, 0.65, 0.67)","0.803 (0.01, 0.80, 0.81)"
XGBoost,Standard,"0.670 (0.02, 0.66, 0.68)","0.765 (0.01, 0.76, 0.77)","0.410 (0.07, 0.39, 0.43)","0.856 (0.01, 0.85, 0.86)","0.656 (0.03, 0.65, 0.67)","0.803 (0.01, 0.80, 0.81)"
Bagging,None,"0.647 (0.02, 0.64, 0.66)","0.778 (0.02, 0.77, 0.78)","0.413 (0.06, 0.39, 0.44)","0.845 (0.00, 0.84, 0.85)","0.675 (0.03, 0.66, 0.69)","0.818 (0.03, 0.81, 0.83)"
GradientBoosting,Standard,"0.649 (0.01, 0.65, 0.65)","0.816 (0.03, 0.81, 0.83)","0.429 (0.06, 0.41, 0.45)","0.844 (0.00, 0.84, 0.85)","0.695 (0.04, 0.68, 0.71)","0.807 (0.02, 0.80, 0.81)"
Bagging,Standard,"0.649 (0.02, 0.64, 0.66)","0.776 (0.02, 0.77, 0.78)","0.407 (0.07, 0.38, 0.43)","0.845 (0.00, 0.84, 0.85)","0.665 (0.04, 0.65, 0.68)","0.811 (0.02, 0.80, 0.82)"
GradientBoosting,None,"0.641 (0.01, 0.64, 0.65)","0.797 (0.04, 0.78, 0.81)","0.416 (0.06, 0.39, 0.44)","0.845 (0.00, 0.84, 0.85)","0.688 (0.04, 0.67, 0.70)","0.804 (0.02, 0.80, 0.81)"
LightGBM,Standard,"0.647 (0.03, 0.64, 0.66)","0.797 (0.02, 0.79, 0.80)","0.414 (0.10, 0.38, 0.45)","0.845 (0.01, 0.84, 0.85)","0.669 (0.03, 0.66, 0.68)","0.795 (0.01, 0.79, 0.80)"
LightGBM,None,"0.642 (0.01, 0.64, 0.65)","0.779 (0.02, 0.77, 0.79)","0.379 (0.08, 0.35, 0.41)","0.844 (0.01, 0.84, 0.85)","0.661 (0.04, 0.65, 0.67)","0.798 (0.02, 0.79, 0.80)"
AdaBoost,None,"0.585 (0.02, 0.58, 0.59)","0.756 (0.03, 0.75, 0.77)","0.402 (0.16, 0.34, 0.46)","0.835 (0.00, 0.83, 0.84)","0.625 (0.05, 0.61, 0.64)","0.766 (0.03, 0.76, 0.78)"
AdaBoost,Standard,"0.585 (0.02, 0.58, 0.59)","0.756 (0.03, 0.75, 0.77)","0.402 (0.16, 0.34, 0.46)","0.835 (0.00, 0.83, 0.84)","0.625 (0.05, 0.61, 0.64)","0.766 (0.03, 0.76, 0.78)"
KNeighbors,None,"0.614 (0.01, 0.61, 0.62)","0.734 (0.02, 0.73, 0.74)","0.378 (0.03, 0.37, 0.39)","0.852 (0.00, 0.85, 0.85)","0.611 (0.03, 0.60, 0.62)","0.756 (0.01, 0.75, 0.76)"
DecisionTree,Standard,"0.590 (0.02, 0.58, 0.59)","0.741 (0.02, 0.73, 0.75)","0.361 (0.07, 0.34, 0.39)","0.840 (0.00, 0.84, 0.84)","0.633 (0.03, 0.62, 0.64)","0.766 (0.02, 0.76, 0.77)"
DecisionTree,None,"0.590 (0.02, 0.58, 0.60)","0.743 (0.02, 0.73, 0.75)","0.389 (0.08, 0.36, 0.42)","0.844 (0.01, 0.84, 0.85)","0.638 (0.03, 0.63, 0.65)","0.762 (0.02, 0.75, 0.77)"
KNeighbors,Standard,"0.570 (0.01, 0.57, 0.57)","0.712 (0.02, 0.71, 0.72)","0.234 (0.03, 0.22, 0.24)","0.834 (0.00, 0.83, 0.83)","0.592 (0.02, 0.59, 0.60)","0.735 (0.01, 0.73, 0.74)"
GaussianNB,None,"0.517 (0.01, 0.52, 0.52)","0.825 (0.07, 0.80, 0.85)","0.213 (0.09, 0.18, 0.24)","0.831 (0.00, 0.83, 0.83)","0.711 (0.09, 0.68, 0.74)","0.677 (0.01, 0.68, 0.68)"
GaussianNB,Standard,"0.495 (0.00, 0.49, 0.50)","0.831 (0.07, 0.81, 0.85)","0.213 (0.08, 0.18, 0.24)","0.832 (0.00, 0.83, 0.83)","0.674 (0.11, 0.64, 0.71)","0.648 (0.00, 0.65, 0.65)"
Dummy,None,"0.461 (0.00, 0.46, 0.46)","nan (nan, nan, nan)","nan (nan, nan, nan)","0.829 (0.00, 0.83, 0.83)","nan (nan, nan, nan)","0.632 (0.00, 0.63, 0.63)"
Dummy,Standard,"0.461 (0.00, 0.46, 0.46)","nan (nan, nan, nan)","nan (nan, nan, nan)","0.829 (0.00, 0.83, 0.83)","nan (nan, nan, nan)","0.632 (0.00, 0.63, 0.63)"
